ID,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25
R19,18-30岁,其他,研究生及以上,农村,否,否,是,是,辅助诊断,医生介绍,视情况而定,医生,听说过但没用过,快捷,完全不信任,其他,无所谓,愿意,比较担心,不确定,政府,否,不接受,不愿意支付,担心
R20,18岁以下,女,小学及以下,县级市,是,否,是,是,辅助诊断,医生介绍,视情况而定,AI系统,使用过,准确,完全不信任,被医生替代,无所谓,视情况而定,稍微担心,不接受,政府,否,取决于场景,20-50元,不了解
R21,18-30岁,女,高中/中专,城市,是,是,是,是,辅助诊断,新闻报道,不愿意,AI系统,听说过但没用过,准确,非常信任,错诊漏诊,无所谓,愿意,不担心,接受,医院,不确定,接受,50元以上,不了解
R22,31-45岁,男,初中,县级市,否,是,是,是,辅助诊断,医生介绍,愿意,都不信任,使用过,方便,完全不信任,其他,否,不愿意,不担心,不确定,不需要监管,否,取决于场景,0-20元,担心
R23,46-60岁,女,初中,城市,否,是,是,是,医疗影像识别,医生介绍,愿意,AI系统,没听说过,快捷,完全不信任,错诊漏诊,无所谓,愿意,不担心,不接受,政府,不确定,取决于场景,不愿意支付,不了解
R24,46-60岁,女,研究生及以上,城市,否,是,是,是,医疗影像识别,医生介绍,不愿意,AI系统,没听说过,准确,较信任,错诊漏诊,无所谓,视情况而定,稍微担心,不确定,政府,不确定,取决于场景,0-20元,担心
R25,31-45岁,男,小学及以下,县级市,是,是,是,否,不清楚,医生介绍,视情况而定,AI系统,使用过,未使用,完全不信任,数据泄露,是,视情况而定,非常担心,接受,政府,是,接受,不愿意支付,担心
R26,46-60岁,其他,初中,城市,否,否,是,是,辅助诊断,医生介绍,视情况而定,AI系统,使用过,准确,完全不信任,错诊漏诊,否,视情况而定,稍微担心,接受,政府,是,取决于场景,不愿意支付,担心
R27,60岁以上,男,高中/中专,城市,是,否,是,是,不清楚,医生介绍,不愿意,都不信任,没听说过,准确,完全不信任,其他,是,视情况而定,比较担心,接受,不需要监管,是,接受,不愿意支付,担心
R28,31-45岁,男,研究生及以上,县级市,否,否,是,是,辅助诊断,互联网搜索,愿意,AI系统,没听说过,未使用,完全不信任,被医生替代,否,愿意,不担心,接受,第三方独立机构,不确定,取决于场景,不愿意支付,担心
R29,18-30岁,男,高中/中专,农村,是,否,是,是,药物推荐,朋友推荐,视情况而定,AI系统,没听说过,方便,完全不信任,错诊漏诊,是,愿意,比较担心,接受,政府,否,接受,50元以上,不担心
R30,18-30岁,其他,本科,农村,否,是,是,是,辅助诊断,新闻报道,愿意,AI系统,没听说过,不满意,较不信任,无法理解,是,愿意,不担心,接受,政府,否,不接受,不愿意支付,担心
R31,18岁以下,女,研究生及以上,县级市,否,否,是,是,药物推荐,医生介绍,愿意,医生,使用过,未使用,完全不信任,错诊漏诊,是,愿意,比较担心,不确定,政府,不确定,接受,不愿意支付,担心
R32,18-30岁,男,初中,城市,否,是,否,是,不清楚,新闻报道,愿意,AI系统,听说过但没用过,准确,完全不信任,错诊漏诊,无所谓,愿意,不担心,接受,政府,否,接受,50元以上,不担心
R33,46-60岁,其他,初中,城市,否,否,是,是,医疗影像识别,互联网搜索,不愿意,难以判断,没听说过,准确,非常信任,其他,无所谓,不愿意,不担心,接受,政府,是,接受,不愿意支付,担心
R34,60岁以上,女,高中/中专,农村,是,是,是,是,医疗影像识别,朋友推荐,愿意,医生,没听说过,未使用,非常信任,错诊漏诊,是,愿意,不担心,接受,第三方独立机构,是,取决于场景,50元以上,不了解
R35,18岁以下,女,小学及以下,城市,是,否,是,是,医疗影像识别,医生介绍,不愿意,难以判断,使用过,不满意,完全不信任,错诊漏诊,是,不愿意,不担心,接受,政府,是,接受,不愿意支付,担心
R36,31-45岁,其他,小学及以下,县级市,否,否,是,是,药物推荐,医生介绍,愿意,AI系统,使用过,未使用,完全不信任,错诊漏诊,是,不愿意,非常担心,不接受,不需要监管,不确定,不接受,不愿意支付,担心
R37,18岁以下,女,小学及以下,县级市,是,是,是,是,医疗影像识别,不了解,愿意,AI系统,听说过但没用过,准确,非常信任,数据泄露,是,愿意,不担心,不确定,政府,否,接受,0-20元,担心
R38,18岁以下,男,初中,城市,否,是,是,是,辅助诊断,不了解,不愿意,AI系统,听说过但没用过,快捷,较不信任,错诊漏诊,是,愿意,稍微担心,不确定,政府,不确定,不接受,50元以上,不担心
R39,46-60岁,男,研究生及以上,农村,否,是,是,是,辅助诊断,医生介绍,愿意,难以判断,听说过但没用过,快捷,完全不信任,错诊漏诊,无所谓,愿意,不担心,不确定,医院,是,接受,50元以上,担心
R40,60岁以上,女,初中,农村,否,否,是,是,医疗影像识别,医生介绍,愿意,AI系统,使用过,准确,完全不信任,错诊漏诊,是,不愿意,不担心,不确定,政府,不确定,接受,0-20元,不了解
R41,18-30岁,女,初中,县级市,否,是,是,是,药物推荐,医生介绍,愿意,难以判断,使用过,方便,完全不信任,错诊漏诊,是,愿意,非常担心,接受,医院,是,取决于场景,不愿意支付,担心
R42,18岁以下,男,初中,农村,否,否,是,是,药物推荐,新闻报道,愿意,难以判断,使用过,准确,一般,无法理解,否,愿意,稍微担心,接受,政府,不确定,接受,20-50元,不了解
R43,18岁以下,其他,初中,城市,否,否,是,否,医疗影像识别,不了解,视情况而定,AI系统,使用过,准确,非常信任,错诊漏诊,是,视情况而定,不担心,接受,政府,是,接受,20-50元,不担心
R44,31-45岁,女,小学及以下,农村,是,否,否,是,医疗影像识别,不了解,不愿意,都不信任,使用过,快捷,完全不信任,被医生替代,无所谓,愿意,非常担心,接受,政府,是,接受,不愿意支付,担心
R45,18-30岁,其他,小学及以下,县级市,是,否,是,是,医疗影像识别,医生介绍,视情况而定,医生,听说过但没用过,未使用,较不信任,被医生替代,是,视情况而定,不担心,接受,政府,是,接受,20-50元,担心
R46,31-45岁,女,本科,城市,是,否,是,否,医疗影像识别,互联网搜索,视情况而定,AI系统,没听说过,不满意,非常信任,错诊漏诊,无所谓,视情况而定,不担心,不接受,政府,不确定,接受,50元以上,担心
R47,18岁以下,男,初中,县级市,是,否,是,否,医疗影像识别,互联网搜索,视情况而定,AI系统,使用过,准确,非常信任,错诊漏诊,是,愿意,比较担心,接受,政府,是,不接受,不愿意支付,担心
R48,60岁以上,女,小学及以下,农村,否,否,是,是,医疗影像识别,朋友推荐,愿意,难以判断,没听说过,准确,一般,被医生替代,否,不愿意,不担心,不接受,政府,不确定,取决于场景,不愿意支付,担心
R49,18-30岁,男,小学及以下,县级市,是,否,是,是,医疗影像识别,新闻报道,不愿意,AI系统,没听说过,快捷,完全不信任,错诊漏诊,无所谓,愿意,稍微担心,接受,不需要监管,是,取决于场景,50元以上,担心
R50,18-30岁,男,高中/中专,县级市,否,是,是,是,医疗影像识别,不了解,视情况而定,都不信任,没听说过,快捷,完全不信任,错诊漏诊,无所谓,视情况而定,比较担心,不接受,医院,不确定,取决于场景,50元以上,担心
R51,18-30岁,女,初中,县级市,否,是,是,是,不清楚,医生介绍,愿意,AI系统,使用过,方便,完全不信任,被医生替代,无所谓,愿意,非常担心,不确定,政府,是,取决于场景,0-20元,担心
R52,18岁以下,其他,高中/中专,城市,否,是,是,是,不清楚,医生介绍,愿意,难以判断,使用过,不满意,一般,其他,无所谓,视情况而定,非常担心,接受,政府,是,接受,50元以上,不了解
R53,46-60岁,男,研究生及以上,城市,是,是,是,是,医疗影像识别,医生介绍,不愿意,AI系统,使用过,快捷,完全不信任,无法理解,否,愿意,不担心,接受,医院,是,取决于场景,不愿意支付,担心
R54,31-45岁,其他,小学及以下,农村,否,是,是,是,不清楚,新闻报道,愿意,都不信任,听说过但没用过,准确,完全不信任,数据泄露,无所谓,视情况而定,非常担心,不接受,不需要监管,是,接受,不愿意支付,担心
R55,18岁以下,女,研究生及以上,县级市,是,否,是,是,不清楚,不了解,视情况而定,难以判断,使用过,不满意,较不信任,其他,否,不愿意,比较担心,接受,第三方独立机构,不确定,接受,不愿意支付,不了解
R56,46-60岁,男,研究生及以上,城市,否,否,是,是,辅助诊断,医生介绍,不愿意,AI系统,使用过,准确,较不信任,错诊漏诊,否,愿意,不担心,不确定,政府,是,取决于场景,不愿意支付,担心
R57,46-60岁,男,本科,农村,否,否,是,是,辅助诊断,医生介绍,愿意,AI系统,使用过,准确,非常信任,错诊漏诊,是,视情况而定,比较担心,接受,第三方独立机构,是,取决于场景,不愿意支付,担心
R58,31-45岁,女,高中/中专,城市,是,否,是,是,不清楚,医生介绍,愿意,医生,使用过,方便,非常信任,错诊漏诊,无所谓,愿意,非常担心,接受,第三方独立机构,否,接受,50元以上,担心
R59,60岁以上,男,小学及以下,县级市,否,是,是,是,医疗影像识别,新闻报道,视情况而定,医生,没听说过,准确,一般,错诊漏诊,否,愿意,不担心,接受,政府,是,接受,20-50元,担心
R60,18岁以下,其他,本科,城市,是,否,是,是,药物推荐,互联网搜索,愿意,都不信任,使用过,快捷,完全不信任,错诊漏诊,无所谓,愿意,不担心,不接受,政府,是,不接受,50元以上,不了解
R61,46-60岁,女,初中,农村,否,否,是,是,医疗影像识别,互联网搜索,不愿意,AI系统,使用过,方便,一般,被医生替代,否,不愿意,比较担心,接受,不需要监管,是,取决于场景,不愿意支付,不担心
R62,60岁以上,男,初中,县级市,否,是,是,是,医疗影像识别,朋友推荐,愿意,医生,使用过,准确,较不信任,数据泄露,是,视情况而定,不担心,不接受,政府,是,接受,不愿意支付,不担心
R63,31-45岁,其他,初中,城市,否,否,是,是,医疗影像识别,不了解,愿意,AI系统,使用过,准确,完全不信任,数据泄露,无所谓,愿意,比较担心,接受,医院,是,接受,0-20元,担心
R64,18-30岁,其他,初中,农村,是,是,是,是,辅助诊断,互联网搜索,视情况而定,医生,使用过,准确,完全不信任,错诊漏诊,否,不愿意,非常担心,接受,政府,是,接受,不愿意支付,不担心
R65,60岁以上,其他,小学及以下,城市,否,否,是,是,辅助诊断,新闻报道,愿意,难以判断,使用过,准确,完全不信任,被医生替代,是,愿意,不担心,接受,政府,否,不接受,不愿意支付,不了解
R66,46-60岁,女,小学及以下,农村,是,否,是,是,医疗影像识别,医生介绍,愿意,AI系统,没听说过,快捷,一般,数据泄露,是,视情况而定,稍微担心,不接受,政府,是,接受,50元以上,担心
R67,18岁以下,男,初中,农村,否,否,是,是,医疗影像识别,医生介绍,视情况而定,AI系统,使用过,快捷,完全不信任,被医生替代,是,不愿意,不担心,接受,第三方独立机构,否,不接受,不愿意支付,不担心
R68,18-30岁,男,小学及以下,农村,是,否,是,是,不清楚,医生介绍,视情况而定,AI系统,没听说过,准确,完全不信任,被医生替代,无所谓,愿意,不担心,不确定,医院,是,接受,50元以上,不了解
R69,60岁以上,女,本科,城市,是,否,是,是,辅助诊断,不了解,愿意,都不信任,使用过,方便,一般,错诊漏诊,是,不愿意,不担心,不接受,政府,不确定,接受,不愿意支付,不了解
R70,46-60岁,男,研究生及以上,城市,是,是,是,是,不清楚,医生介绍,愿意,难以判断,使用过,方便,一般,数据泄露,是,视情况而定,稍微担心,接受,政府,不确定,取决于场景,不愿意支付,不了解
R71,18-30岁,女,研究生及以上,农村,是,否,是,是,医疗影像识别,朋友推荐,视情况而定,医生,使用过,准确,较信任,无法理解,是,视情况而定,不担心,接受,政府,是,不接受,不愿意支付,担心
R72,31-45岁,女,研究生及以上,县级市,否,是,是,是,医疗影像识别,朋友推荐,不愿意,都不信任,听说过但没用过,准确,较信任,数据泄露,是,愿意,稍微担心,接受,政府,不确定,接受,不愿意支付,担心
R73,31-45岁,其他,初中,县级市,是,是,是,是,医疗影像识别,互联网搜索,不愿意,AI系统,听说过但没用过,准确,较信任,其他,无所谓,视情况而定,不担心,不接受,医院,否,取决于场景,50元以上,不担心
R74,18-30岁,其他,小学及以下,农村,是,否,是,是,药物推荐,不了解,视情况而定,AI系统,听说过但没用过,准确,完全不信任,无法理解,是,愿意,稍微担心,接受,医院,否,不接受,不愿意支付,不担心
R75,31-45岁,其他,初中,县级市,是,否,是,是,医疗影像识别,医生介绍,愿意,都不信任,没听说过,准确,一般,被医生替代,是,愿意,不担心,接受,医院,不确定,接受,不愿意支付,担心
R76,46-60岁,女,高中/中专,城市,是,否,是,是,药物推荐,医生介绍,愿意,都不信任,使用过,快捷,较信任,数据泄露,是,愿意,非常担心,接受,医院,是,取决于场景,不愿意支付,担心
R77,18岁以下,其他,小学及以下,农村,是,否,否,是,药物推荐,朋友推荐,不愿意,AI系统,听说过但没用过,准确,完全不信任,错诊漏诊,否,愿意,非常担心,接受,第三方独立机构,不确定,接受,不愿意支付,不了解
R78,18-30岁,男,本科,农村,否,否,是,是,医疗影像识别,医生介绍,愿意,都不信任,使用过,准确,较不信任,被医生替代,无所谓,视情况而定,不担心,接受,不需要监管,否,接受,20-50元,不了解
R79,31-45岁,其他,研究生及以上,县级市,否,是,是,是,医疗影像识别,医生介绍,不愿意,难以判断,听说过但没用过,准确,完全不信任,数据泄露,否,视情况而定,不担心,不确定,医院,否,接受,0-20元,不担心
R80,46-60岁,其他,研究生及以上,农村,是,是,是,是,不清楚,医生介绍,不愿意,AI系统,使用过,方便,非常信任,错诊漏诊,否,视情况而定,稍微担心,接受,政府,是,接受,20-50元,担心
R81,18-30岁,女,初中,城市,是,是,否,是,医疗影像识别,新闻报道,视情况而定,难以判断,使用过,不满意,完全不信任,被医生替代,是,不愿意,不担心,不接受,不需要监管,是,取决于场景,不愿意支付,担心
R82,60岁以上,男,研究生及以上,县级市,是,否,是,是,辅助诊断,医生介绍,不愿意,都不信任,没听说过,不满意,完全不信任,错诊漏诊,否,视情况而定,不担心,接受,政府,不确定,不接受,20-50元,不担心
R83,31-45岁,女,初中,县级市,否,否,是,是,不清楚,医生介绍,愿意,AI系统,没听说过,未使用,完全不信任,错诊漏诊,是,不愿意,不担心,不确定,政府,是,接受,不愿意支付,不了解
R84,46-60岁,男,研究生及以上,农村,否,否,否,是,辅助诊断,互联网搜索,愿意,都不信任,使用过,不满意,较信任,错诊漏诊,无所谓,愿意,比较担心,接受,第三方独立机构,不确定,接受,不愿意支付,不担心
R85,60岁以上,男,小学及以下,县级市,是,否,是,是,药物推荐,医生介绍,不愿意,都不信任,听说过但没用过,准确,完全不信任,其他,是,视情况而定,比较担心,接受,不需要监管,不确定,不接受,0-20元,担心
R86,31-45岁,女,高中/中专,农村,是,否,是,是,医疗影像识别,医生介绍,愿意,难以判断,使用过,未使用,一般,错诊漏诊,是,愿意,非常担心,接受,政府,否,不接受,不愿意支付,不担心
R87,31-45岁,其他,初中,农村,是,否,是,是,医疗影像识别,互联网搜索,不愿意,医生,听说过但没用过,准确,一般,错诊漏诊,是,愿意,比较担心,不确定,不需要监管,是,接受,0-20元,担心
R88,18-30岁,女,高中/中专,县级市,是,否,是,是,药物推荐,医生介绍,视情况而定,AI系统,使用过,快捷,完全不信任,错诊漏诊,是,愿意,比较担心,不接受,第三方独立机构,是,接受,20-50元,担心
R89,18-30岁,女,高中/中专,县级市,是,否,是,是,医疗影像识别,新闻报道,愿意,AI系统,使用过,准确,完全不信任,错诊漏诊,无所谓,愿意,稍微担心,接受,政府,不确定,取决于场景,0-20元,担心
R90,46-60岁,其他,高中/中专,县级市,否,是,是,是,不清楚,医生介绍,愿意,难以判断,听说过但没用过,准确,完全不信任,错诊漏诊,无所谓,不愿意,稍微担心,接受,政府,是,接受,20-50元,担心
R91,31-45岁,其他,研究生及以上,城市,是,否,是,是,辅助诊断,医生介绍,愿意,难以判断,没听说过,准确,非常信任,数据泄露,否,视情况而定,比较担心,不接受,政府,是,不接受,不愿意支付,担心
R92,46-60岁,其他,初中,县级市,否,否,是,是,不清楚,互联网搜索,愿意,难以判断,使用过,准确,完全不信任,其他,是,视情况而定,不担心,接受,政府,是,取决于场景,50元以上,担心
R93,46-60岁,男,初中,县级市,否,否,是,是,不清楚,互联网搜索,视情况而定,AI系统,没听说过,准确,完全不信任,错诊漏诊,否,愿意,不担心,接受,政府,不确定,接受,不愿意支付,担心
R94,31-45岁,女,本科,农村,是,否,是,是,医疗影像识别,不了解,视情况而定,AI系统,听说过但没用过,方便,完全不信任,错诊漏诊,是,愿意,比较担心,接受,政府,是,不接受,不愿意支付,不担心
R95,60岁以上,其他,初中,城市,是,是,是,是,辅助诊断,新闻报道,愿意,AI系统,使用过,方便,完全不信任,其他,是,视情况而定,比较担心,接受,不需要监管,不确定,取决于场景,不愿意支付,不了解
R96,60岁以上,其他,研究生及以上,县级市,否,否,是,是,医疗影像识别,互联网搜索,愿意,AI系统,听说过但没用过,不满意,较信任,错诊漏诊,是,愿意,比较担心,接受,医院,是,接受,0-20元,不了解
R97,18-30岁,其他,研究生及以上,县级市,是,否,是,否,医疗影像识别,不了解,视情况而定,难以判断,没听说过,不满意,非常信任,无法理解,否,不愿意,稍微担心,不确定,政府,是,接受,不愿意支付,担心
R98,18岁以下,其他,小学及以下,农村,否,是,是,是,医疗影像识别,不了解,愿意,AI系统,使用过,快捷,完全不信任,其他,是,视情况而定,不担心,不接受,医院,否,不接受,不愿意支付,担心
R99,46-60岁,其他,高中/中专,县级市,是,是,是,是,辅助诊断,朋友推荐,愿意,AI系统,使用过,准确,完全不信任,错诊漏诊,无所谓,愿意,稍微担心,不接受,政府,是,接受,20-50元,担心
R100,31-45岁,其他,本科,农村,否,是,是,是,医疗影像识别,医生介绍,不愿意,AI系统,使用过,准确,完全不信任,错诊漏诊,是,愿意,不担心,接受,政府,是,不接受,0-20元,担心
R101,18-30岁,其他,本科,城市,否,是,是,是,医疗影像识别,医生介绍,视情况而定,难以判断,使用过,方便,非常信任,其他,无所谓,不愿意,比较担心,接受,政府,不确定,接受,20-50元,担心
R102,18-30岁,男,小学及以下,农村,否,否,是,是,辅助诊断,互联网搜索,愿意,AI系统,使用过,不满意,完全不信任,被医生替代,是,不愿意,比较担心,不接受,第三方独立机构,是,不接受,50元以上,不担心
R103,18岁以下,女,研究生及以上,县级市,是,是,是,是,辅助诊断,医生介绍,愿意,AI系统,使用过,不满意,一般,数据泄露,否,不愿意,不担心,不确定,政府,否,取决于场景,50元以上,不了解
R104,31-45岁,女,研究生及以上,农村,是,否,是,是,医疗影像识别,新闻报道,视情况而定,AI系统,使用过,准确,一般,错诊漏诊,无所谓,视情况而定,不担心,接受,政府,是,不接受,不愿意支付,担心
R105,18-30岁,男,初中,城市,否,是,是,是,药物推荐,医生介绍,愿意,难以判断,使用过,快捷,完全不信任,错诊漏诊,否,视情况而定,不担心,接受,不需要监管,不确定,接受,不愿意支付,不担心
R106,18-30岁,其他,初中,农村,否,是,是,是,医疗影像识别,医生介绍,不愿意,都不信任,听说过但没用过,未使用,完全不信任,被医生替代,无所谓,视情况而定,不担心,不接受,政府,是,取决于场景,不愿意支付,不了解
R107,31-45岁,其他,高中/中专,县级市,否,否,是,是,药物推荐,互联网搜索,愿意,AI系统,使用过,准确,完全不信任,其他,无所谓,视情况而定,非常担心,不确定,政府,否,不接受,不愿意支付,不了解
R108,60岁以上,其他,初中,县级市,否,否,是,是,医疗影像识别,互联网搜索,愿意,AI系统,使用过,快捷,完全不信任,错诊漏诊,是,愿意,不担心,接受,政府,否,取决于场景,不愿意支付,不担心
R109,60岁以上,其他,高中/中专,城市,是,是,是,是,医疗影像识别,互联网搜索,愿意,医生,使用过,准确,完全不信任,错诊漏诊,否,视情况而定,比较担心,不确定,政府,不确定,取决于场景,不愿意支付,担心
R110,18岁以下,男,本科,县级市,是,否,是,是,药物推荐,医生介绍,不愿意,难以判断,使用过,准确,完全不信任,被医生替代,否,愿意,稍微担心,不确定,政府,否,不接受,不愿意支付,不了解
R111,60岁以上,其他,本科,城市,是,否,是,是,不清楚,医生介绍,视情况而定,AI系统,没听说过,快捷,较信任,数据泄露,否,视情况而定,不担心,接受,政府,否,取决于场景,不愿意支付,不担心
R112,18-30岁,女,小学及以下,县级市,是,是,是,是,医疗影像识别,医生介绍,不愿意,医生,使用过,准确,完全不信任,被医生替代,是,视情况而定,不担心,接受,医院,否,接受,20-50元,不了解
R113,46-60岁,女,初中,城市,是,是,是,是,不清楚,互联网搜索,愿意,都不信任,听说过但没用过,准确,完全不信任,数据泄露,否,愿意,不担心,接受,第三方独立机构,是,取决于场景,20-50元,不了解
R114,46-60岁,其他,高中/中专,城市,是,是,是,是,医疗影像识别,医生介绍,不愿意,AI系统,使用过,不满意,一般,其他,是,愿意,稍微担心,不接受,医院,否,接受,0-20元,担心
R115,60岁以上,其他,小学及以下,县级市,否,是,是,是,医疗影像识别,医生介绍,愿意,AI系统,使用过,准确,较信任,错诊漏诊,是,愿意,不担心,不确定,医院,是,取决于场景,不愿意支付,不担心
R116,60岁以上,男,小学及以下,县级市,是,是,是,是,不清楚,医生介绍,愿意,AI系统,听说过但没用过,不满意,一般,被医生替代,是,愿意,不担心,接受,政府,不确定,不接受,不愿意支付,不了解
R117,18岁以下,女,本科,城市,是,是,是,是,药物推荐,朋友推荐,愿意,AI系统,没听说过,准确,完全不信任,无法理解,否,视情况而定,不担心,接受,政府,否,接受,50元以上,不担心
R118,46-60岁,其他,本科,县级市,否,是,是,是,药物推荐,医生介绍,愿意,难以判断,使用过,准确,完全不信任,被医生替代,是,不愿意,非常担心,不接受,医院,不确定,不接受,0-20元,担心
R119,31-45岁,女,初中,城市,是,否,是,是,药物推荐,医生介绍,不愿意,AI系统,没听说过,准确,完全不信任,被医生替代,否,不愿意,非常担心,不确定,医院,是,接受,0-20元,担心
R120,60岁以上,男,高中/中专,农村,否,否,是,是,不清楚,医生介绍,愿意,AI系统,没听说过,方便,一般,错诊漏诊,是,愿意,非常担心,接受,政府,是,取决于场景,0-20元,不担心
R121,31-45岁,男,高中/中专,城市,是,否,是,是,医疗影像识别,不了解,愿意,AI系统,听说过但没用过,快捷,非常信任,错诊漏诊,否,愿意,比较担心,不确定,医院,不确定,接受,不愿意支付,不了解
R122,18岁以下,男,研究生及以上,城市,否,否,是,是,医疗影像识别,医生介绍,不愿意,AI系统,没听说过,准确,较不信任,无法理解,无所谓,愿意,比较担心,接受,政府,否,接受,50元以上,不担心
R123,46-60岁,女,研究生及以上,城市,是,是,是,否,辅助诊断,医生介绍,不愿意,难以判断,使用过,准确,非常信任,错诊漏诊,无所谓,愿意,稍微担心,不确定,政府,是,接受,0-20元,担心
R124,31-45岁,其他,本科,城市,否,是,是,是,不清楚,医生介绍,愿意,AI系统,使用过,准确,完全不信任,其他,否,视情况而定,比较担心,不接受,第三方独立机构,否,接受,0-20元,担心
R125,60岁以上,男,小学及以下,农村,否,是,是,否,不清楚,不了解,愿意,难以判断,没听说过,准确,较不信任,错诊漏诊,是,视情况而定,不担心,不确定,第三方独立机构,否,取决于场景,20-50元,担心
R126,18岁以下,女,高中/中专,农村,是,是,是,是,不清楚,医生介绍,愿意,医生,使用过,准确,较不信任,错诊漏诊,否,视情况而定,不担心,接受,政府,是,不接受,50元以上,担心
R127,18-30岁,女,研究生及以上,农村,否,否,是,是,辅助诊断,医生介绍,不愿意,都不信任,使用过,准确,完全不信任,错诊漏诊,无所谓,视情况而定,不担心,不接受,政府,不确定,不接受,0-20元,担心
R128,31-45岁,男,高中/中专,农村,是,是,是,是,医疗影像识别,互联网搜索,视情况而定,AI系统,听说过但没用过,准确,较信任,错诊漏诊,无所谓,愿意,不担心,接受,政府,否,取决于场景,50元以上,担心
R129,46-60岁,其他,初中,农村,否,否,否,是,医疗影像识别,医生介绍,视情况而定,难以判断,使用过,准确,完全不信任,错诊漏诊,是,愿意,不担心,不接受,不需要监管,是,不接受,不愿意支付,担心
